-1781064.8255066916	  inf
-1345388.4948367546	2.44616e-01
-1341118.3608589612	3.17390e-03
-1340907.9117679377	1.56921e-04
-1342122.6805193909	-9.05930e-04
-1341137.8317556789	7.33799e-04
-1341658.1235411544	-3.87948e-04
-1341849.4567770034	-1.42610e-04
-1342235.4140890045	-2.87631e-04
-1342268.9339460498	-2.49732e-05
-1341869.1917502249	2.97811e-04
-1341295.5080507693	4.27526e-04
-1340509.3520954719	5.86117e-04
-1339275.7648078834	9.20238e-04
-1337914.9052605727	1.01612e-03
-1336355.0591030628	1.16588e-03
-1334869.9654807809	1.11130e-03
-1333175.5384127174	1.26936e-03
-1331425.1863720065	1.31292e-03
-1329995.1403579842	1.07407e-03
-1328408.6503911240	1.19285e-03
-1326683.7741825536	1.29845e-03
-1324959.5991373104	1.29961e-03
-1323392.5488296077	1.18272e-03
-1321975.9484707625	1.07043e-03
-1320613.5328957150	1.03059e-03
-1319302.7310663997	9.92570e-04
-1318060.3496929291	9.41695e-04
-1316841.4675655488	9.24754e-04
-1315705.2339933596	8.62848e-04
-1314717.9139810370	7.50411e-04
-1313811.4694057240	6.89459e-04
-1312932.8792381610	6.68734e-04
-1312091.3269851641	6.40971e-04
-1311328.7873464972	5.81164e-04
-1310691.8883201925	4.85690e-04
-1310066.9048267230	4.76835e-04
-1309530.7905437662	4.09227e-04
-1309055.8295049565	3.62696e-04
-1308581.0598306293	3.62681e-04
-1308168.6280353689	3.15175e-04
-1307801.5595205894	2.80597e-04
-1307530.9323952491	2.06933e-04
-1307249.1846440921	2.15481e-04
-1306999.8687547815	1.90718e-04
-1306757.7680735097	1.85234e-04
-1306548.0439242055	1.60492e-04
-1306363.0165125357	1.41615e-04
-1306197.5493868138	1.26662e-04
-1306035.4133284839	1.24128e-04
-1305894.3465450369	1.08011e-04
-1305749.0826433713	1.11237e-04
-1305630.8186884760	9.05717e-05
